trus,3,1,4
sejak,1,3,4
korupsi,3,1,4
parah,4,0,4
anggota,3,1,4
dengar,4,0,4
walaupun,4,0,4
otak,2,2,4
kosong,3,1,4
betapa,2,2,4
revolusi,4,0,4
makan,2,2,4
edar,2,2,4
harap,2,2,4
lindung,2,2,4
suara,1,3,4
buruk,2,2,4
sisi,1,3,4
sikap,2,2,4
tinggal,4,0,4
dunia,3,1,4
tentu,4,0,4
karna,1,3,4
angkat,2,2,4
kayak,1,3,4
kelas,3,1,4
tengah,2,2,4
bapak,4,0,4
langsung,2,2,4
mata,3,1,4
buka,0,4,4
khusus,3,1,4
sengsara,4,0,4
doang,4,0,4
hati,3,1,4
sehat,4,0,4
budak,3,1,4
luar,2,2,4
modal,4,0,4
tetep,4,0,4
bisnis,2,2,4
bukankah,2,2,4
luas,1,3,4
phk,3,1,4
gue,2,2,4
dak,1,3,4
tindas,3,1,4
paksa,4,0,4
sini,3,1,4
minta,2,2,4
bodoh,3,1,4
kaji,3,1,4
tapi,4,0,4
gagal,4,0,4
ngerti,2,2,4
pake,3,1,4
heran,2,2,4
inti,4,0,4
bangun,1,3,4
sejahtera,2,2,4
adil,3,1,4
tenaga,4,0,4
lahan,3,1,4
hanya,4,0,4
iya,2,2,4
positif,0,4,4
janji,3,1,4
datang,4,0,4
uang,2,2,4
kurang,1,3,4
ekonomi,2,2,4
pimpin,3,1,4
tetap,2,2,4
teman,2,1,3
lagi,1,2,3
uud,3,0,3
bentuk,2,1,3
mesti,2,1,3
sektor,1,2,3
kelompok,1,2,3
saja,0,3,3
lempar,2,1,3
alat,3,0,3
lg,3,0,3
rezim,3,0,3
bhw,2,1,3
arah,3,0,3
tangkap,3,0,3
kecewa,3,0,3
tega,3,0,3
peluang,2,1,3
oknum,2,1,3
tambah,3,0,3
lo,1,2,3
begini,1,2,3
dah,2,1,3
nyawa,3,0,3
bangsat,3,0,3
tiba,1,2,3
bom,1,2,3
sengaja,2,1,3
saat,3,0,3
menteri,2,1,3
ngomong,3,0,3
bagi,2,1,3
janggal,3,0,3
tanda,2,1,3
pademi,3,0,3
asal,1,2,3
pusat,2,1,3
contoh,2,1,3
analisis,2,1,3
tanah,3,0,3
air,3,0,3
revisi,0,3,3
banding,2,1,3
isu,3,0,3
tka,2,1,3
china,3,0,3
demokrat,1,2,3
muncul,2,1,3
usul,3,0,3
pada,1,2,3
sosial,1,2,3
tenang,1,2,3
gimana,0,3,3
mulu,1,2,3
rame,0,3,3
bang,3,0,3
demonstran,2,1,3
bicara,2,1,3
narasi,3,0,3
bantu,2,1,3
efisien,1,2,3
sm,2,1,3
fakta,2,1,3
klarifikasi,2,1,3
sby,2,1,3
akal,2,1,3
bung,3,0,3
jamin,2,1,3
sepenuh,1,2,3
berdak,2,1,3
asing,3,0,3
beda,2,1,3
atau,2,1,3
halal,2,1,3
suatu,3,0,3
untuk,1,2,3
tangan,3,0,3
golong,1,2,3
selalu,1,2,3
nyai,1,2,3
n,3,0,3
sarat,3,0,3
situ,2,1,3
bawah,2,1,3
sangon,2,1,3
gk,2,1,3
rumah,3,0,3
dong,2,1,3
bos,3,0,3
naik,1,2,3
ubah,2,1,3
politik,2,1,3
butuh,2,1,3
darah,3,0,3
sasar,2,1,3
telinga,3,0,3
benci,2,1,3
pd,2,1,3
jajah,3,0,3
pernah,1,2,3
pandemi,2,1,3
karyawan,3,0,3
partai,3,0,3
lantas,3,0,3
ganti,1,2,3
tarik,1,2,3
omong,3,0,3
lepas,2,1,3
pikir,2,1,3
tepat,2,1,3
konglomerat,3,0,3
alias,3,0,3
maksud,2,1,3
produk,1,2,3
ulang,3,0,3
curiga,3,0,3
tegas,2,1,3
amdal,2,1,3
masing,2,1,3
sembunyi,2,0,2
serikat,2,0,2
ormas,1,1,2
power,1,1,2
people,1,1,2
kutip,1,1,2
prof,1,1,2
sipil,2,0,2
susup,1,1,2
sma,1,1,2
aktor,0,2,2
oposisi,1,1,2
bara,1,1,2
akar,1,1,2
bersih,2,0,2
it,1,1,2
jejak,1,1,2
asap,2,0,2
bentar,2,0,2
batu,2,0,2
tulis,1,1,2
situasi,2,0,2
ampun,2,0,2
lambat,1,1,2
takut,2,0,2
smua,1,1,2
biadab,2,0,2
entah,1,1,2
keluar,2,0,2
mundur,2,0,2
wkwkw,0,2,2
gilir,0,2,2
nyambung,2,0,2
fasum,2,0,2
utama,2,0,2
ama,2,0,2
kpopers,1,1,2
biaya,2,0,2
ridwan,2,0,2
kamil,2,0,2
rk,1,1,2
serang,2,0,2
beliau,1,1,2
sepakat,2,0,2
draf,2,0,2
goblok,2,0,2
bawa,1,1,2
loe,2,0,2
maksa,2,0,2
msh,1,1,2
ancam,2,0,2
demokratisasi,2,0,2
siar,2,0,2
telah,1,1,2
halte,1,1,2
teriak,1,1,2
diskusi,2,0,2
pemda,1,1,2
lbh,2,0,2
scr,1,1,2
per,2,0,2
sia,2,0,2
jga,1,1,2
elemen,1,1,2
duga,2,0,2
aneh,0,2,2
