situ,positif,negatif,1.7,1.0
bisnis,positif,negatif,1.7,1.0
power,positif,negatif,1.7,1.0
betapa,positif,negatif,1.7,1.0
sepenuh,positif,negatif,1.7,1.0
tunggang,positif,negatif,1.7,1.0
telah,positif,negatif,1.7,1.0
pemda,positif,negatif,1.7,1.0
niat,positif,negatif,1.7,1.0
jauh,positif,negatif,1.7,1.0
jawab,positif,negatif,1.7,1.0
pada,positif,negatif,1.7,1.0
tolong,positif,negatif,1.7,1.0
kadang,positif,negatif,1.7,1.0
poin,positif,negatif,1.7,1.0
bodoh,positif,negatif,1.7,1.0
bom,positif,negatif,1.7,1.0
dari,positif,negatif,1.7,1.0
lain,positif,negatif,1.7,1.0
aman,positif,negatif,1.7,1.0
sini,positif,negatif,1.7,1.0
empati,positif,negatif,1.7,1.0
entah,positif,negatif,1.7,1.0
anggap,positif,negatif,1.7,1.0
contoh,positif,negatif,1.7,1.0
karena,positif,negatif,1.7,1.0
smua,positif,negatif,1.7,1.0
nyari,positif,negatif,1.7,1.0
bayar,positif,negatif,1.7,1.0
jokowi,positif,negatif,1.7,1.0
baru,positif,negatif,1.7,1.0
fasilitas,positif,negatif,1.7,1.0
lah,positif,negatif,1.7,1.0
semua,positif,negatif,1.7,1.0
beberapa,positif,negatif,1.7,1.0
bilang,positif,negatif,1.7,1.0
rasa,positif,negatif,1.7,1.0
sudah,positif,negatif,1.7,1.0
jalan,positif,negatif,1.7,1.0
dulu,positif,negatif,1.7,1.0
untung,negatif,positif,1.6,1.0
batal,negatif,positif,1.6,1.0
mungkin,negatif,positif,1.6,1.0
tindak,negatif,positif,1.6,1.0
negara,negatif,positif,1.6,1.0
laku,negatif,positif,1.6,1.0
tidak,negatif,positif,1.5,1.0
indonesia,negatif,positif,1.5,1.0
kalo,positif,negatif,1.4,1.0
sekali,negatif,positif,1.4,1.0
sedikit,negatif,positif,1.4,1.0
kelas,negatif,positif,1.4,1.0
paling,negatif,positif,1.4,1.0
susah,negatif,positif,1.4,1.0
kita,negatif,positif,1.4,1.0
presiden,negatif,positif,1.4,1.0
draft,negatif,positif,1.4,1.0
siapa,negatif,positif,1.4,1.0
atas,negatif,positif,1.4,1.0
harus,negatif,positif,1.4,1.0
point,negatif,positif,1.4,1.0
lu,negatif,positif,1.4,1.0
si,negatif,positif,1.4,1.0
begitu,negatif,positif,1.4,1.0
mau,negatif,positif,1.4,1.0
arti,positif,negatif,1.4,1.0
ada,positif,negatif,1.4,1.0
buat,positif,negatif,1.4,1.0
hidup,negatif,positif,1.3,1.0
paham,negatif,positif,1.3,1.0
tanya,negatif,positif,1.3,1.0
kata,negatif,positif,1.3,1.0
sah,positif,negatif,1.3,1.0
mana,positif,negatif,1.3,1.0
sama,positif,negatif,1.3,1.0
tau,negatif,positif,1.3,1.0
masalah,negatif,positif,1.3,1.0
kok,negatif,positif,1.3,1.0
ruu,negatif,positif,1.3,1.0
law,positif,negatif,1.3,1.0
apa,negatif,positif,1.2,1.0
buruh,negatif,positif,1.2,1.0
omnibus,positif,negatif,1.2,1.0
perintah,positif,negatif,1.2,1.0
baik,negatif,positif,1.2,1.0
baca,negatif,positif,1.2,1.0
usaha,negatif,positif,1.2,1.0
rakyat,positif,negatif,1.2,1.0
aspirasi,positif,negatif,1.2,1.0
lihat,positif,negatif,1.2,1.0
bener,positif,negatif,1.2,1.0
pihak,positif,negatif,1.2,1.0
media,positif,negatif,1.2,1.0
sendiri,positif,negatif,1.2,1.0
jd,positif,negatif,1.2,1.0
ikut,positif,negatif,1.2,1.0
dan,positif,negatif,1.2,1.0
waktu,positif,negatif,1.2,1.0
isi,positif,negatif,1.2,1.0
balik,positif,negatif,1.2,1.0
malah,positif,negatif,1.2,1.0
coba,positif,negatif,1.2,1.0
kerja,positif,negatif,1.2,1.0
demo,negatif,positif,1.2,1.0
dpr,positif,negatif,1.2,1.0
omnibuslaw,positif,negatif,1.2,1.0
yg,negatif,positif,1.2,1.0
yang,negatif,positif,1.2,1.0
tolak,positif,negatif,1.2,1.0
uu,positif,negatif,1.1,1.0
aja,negatif,positif,1.1,1.0
lebih,positif,negatif,1.1,1.0
mudah,negatif,positif,1.1,1.0
ada,negatif,positif,1.1,1.0
rugi,negatif,positif,1.1,1.0
di,negatif,positif,1.1,1.0
banyak,negatif,positif,1.1,1.0
jadi,positif,negatif,1.1,1.0
dalam,negatif,positif,1.1,1.0
bukan,negatif,positif,1.1,1.0
sesuai,negatif,positif,1.1,1.0
kan,negatif,positif,1.1,1.0
hoax,negatif,positif,1.1,1.0
mahasiswa,positif,negatif,1.1,1.0
tuju,negatif,positif,1.1,1.0
orang,negatif,positif,1.1,1.0
tidak,positif,negatif,1.1,1.0
besar,positif,negatif,1.1,1.0
bakal,negatif,positif,1.1,1.0
krn,negatif,positif,1.1,1.0
banget,negatif,positif,1.1,1.0
sih,negatif,positif,1.1,1.0
emang,negatif,positif,1.1,1.0
pro,negatif,positif,1.1,1.0
utk,negatif,positif,1.1,1.0
ya,negatif,positif,1.1,1.0
juang,negatif,positif,1.1,1.0
aku,negatif,positif,1.1,1.0
atur,negatif,positif,1.1,1.0
cuma,negatif,positif,1.1,1.0
hari,negatif,positif,1.1,1.0
nyata,negatif,positif,1.1,1.0
kalo,negatif,positif,1.1,1.0
jangan,negatif,positif,1.1,1.0
udah,negatif,positif,1.1,1.0
aksi,positif,negatif,1.1,1.0
kesah,positif,negatif,1.1,1.0
anarkis,positif,negatif,1.1,1.0
cara,positif,negatif,1.1,1.0
bukti,positif,negatif,1.1,1.0
karna,negatif,positif,1.1,1.0
buka,negatif,positif,1.1,1.0
urus,negatif,positif,1.1,1.0
bikin,negatif,positif,1.1,1.0
uu,negatif,positif,1.1,1.0
benar,positif,negatif,1.1,1.0
ini,positif,negatif,1.1,1.0
penting,negatif,positif,1.1,1.0
satu,positif,negatif,1.1,1.0
protes,positif,negatif,1.1,1.0
rusuh,negatif,positif,1.1,1.0
semua,negatif,positif,1.1,1.0
kalian,positif,negatif,1.1,1.0
gw,negatif,positif,1.1,1.0
sisi,negatif,positif,1.1,1.0
terima,negatif,positif,1.1,1.0
memang,negatif,positif,1.1,1.0
siap,negatif,positif,1.1,1.0
itu,negatif,positif,1.1,1.0
liat,negatif,positif,1.1,1.0
sejak,negatif,positif,1.1,1.0
buat,negatif,positif,1.1,1.0
rusak,positif,negatif,1.0,1.0
hak,positif,negatif,1.0,1.0
beberapa,negatif,positif,1.0,1.0
sudah,negatif,positif,1.0,1.0
aneh,negatif,positif,1.0,1.0
