aktor,2
oposisi,2
bara,2
akar,2
bersih,2
it,2
jejak,2
asap,2
bentar,2
batu,2
tulis,2
situasi,2
ampun,2
lambat,2
takut,2
smua,2
biadab,2
entah,2
keluar,2
mundur,2
wkwkw,2
gilir,2
nyambung,2
fasum,2
utama,2
ama,2
kpopers,2
temen,2
biaya,2
ridwan,2
kamil,2
rk,2
serang,2
beliau,2
sepakat,2
draf,2
goblok,2
bawa,2
loe,2
maksa,2
msh,2
ancam,2
demokratisasi,2
siar,2
telah,2
halte,2
teriak,2
diskusi,2
pemda,2
lbh,2
scr,2
per,2
sia,2
jga,2
elemen,2
duga,2
aneh,2
rancang,2
and,2
well,2
nanti,2
berapa,2
ngeri,2
proyek,2
lokal,2
gaji,2
respect,2
sidang,2
kemarin,2
ngapain,2
siang,2
amat,2
ol,2
bagus,2
pegawai,2
korup,2
bahasa,2
bkn,2
masing,2
tolong,2
kecil,2
gausah,2
gera,2
cilaka,2
pancing,2
keluarga,2
gedung,2
gapapa,2
perppu,2
tiada,2
maksimal,2
tunggu,2
luka,2
dengan,2
diri,2
usah,2
guna,2
hasut,2
empati,2
kawan,2
alih,2
gaung,2
semangat,2
maya,2
nonton,2
sok,2
an,2
efektif,2
bebal,2
sifat,2
dana,2
jumlah,2
berani,2
ngomongin,2
sejarah,2
nurani,2
jarah,2
alam,2
hutang,2
nyari,2
bingung,2
turut,2
henti,2
terap,2
dpt,2
ujung,2
pancasila,2
outsourcing,2
bidang,2
pecat,2
meski,2
terimakasih,2
kasus,2
pilih,2
miskin,2
tendensi,2
malam,2
segala,2
palu,2
potong,2
mbak,2
opini,2
eropa,2
informatif,2
unjuk,2
nentang,2
politis,2
busuk,2
pks,2
demonstrasi,2
sahkan,2
kamu,2
endingnya,2
dapat,2
rubah,2
gugat,2
debat,2
puan,2
skrg,2
monggo,2
bpk,2
tempat,2
mah,2
tuntas,2
tunjuk,2
sbg,2
mmg,2
fatal,2
ente,2
minimal,2
covid,2
data,2
dikit,2
logika,2
dia,2
jgn,2
laut,2
gusur,2
segi,2
gua,2
kadang,2
murni,2
cita,2
ngurus,2
perijinan,2
salut,2
tuding,2
sungguh,2
tuan,2
dokumen,2
selesampai,2
besok,2
informasi,2
imbang,2
tebar,2
dalang,2
sy,2
efek,2
manusia,2
wajib,2
sementara,2
ambil,2
benah,2
panjang,2
bunuh,2
kesal,2
ajak,2
ngobrol,2
hebat,2
putar,2
mohon,2
udh,2
mental,2
indo,2
emg,2
ngmg,2
dasar,2
cek,2
ruang,2
nah,2
pakai,2
penasaran,2
share,2
tinggi,2
mahfud,2
bahwa,2
demi,2
korporasi,2
lembaga,2
swasta,2
tanggung,2
adalah,2
rupa,2
cina,2
cari,2
emng,2
gada,2
alas,2
loh,2
dagang,2
he,2
yaa,2
serah,2
makmur,2
mogok,2
libat,2
keliru,2
masih,2
main,2
berat,2
berontak,2
jahat,2
jakarta,2
kemaren,2
tahan,2
diem,2
on,2
ketok,2
bu,2
remeh,2
hubung,2
kawasan,2
kalimantan,2
papua,2
sawit,2
teknis,2
sosialisasi,2
kepada,2
akun,2
bahaya,2
kami,2
layak,2
massa,2
wakil,2
solusi,2
usik,2
dn,2
jdi,2
andil,2
ingat,2
pajak,2
antara,2
pasar,2
syarat,2
medsos,2
paripurna,2
you,2
percuma,2
saudara,2
titip,2
taipan,2
agenda,2
lemah,2
ungkap,2
brutal,2
sistem,2
kapitalisme,2
hancur,2
sana,2
wujud,2
tlh,2
diam,2
jaman,2
dlm,2
kontroversi,2
yo,2
naskah,2
reformasi,2
joko,2
widodo,2
sederhana,2
cukup,2
putus,2
lolos,2
komunis,2
hitam,2
republik,2
dprd,2
waspada,2
ingin,2
aj,2
pressure,1
pakar,1
tata,1
oss,1
online,1
single,1
submission,1
klaster,1
oleh,1
substansial,1
adopsi,1
abai,1
anarkhis,1
berbulan,1
slm,1
tertib,1
kendala,1
kuhp,1
pion,1
rumput,1
re,1
pidana,1
bersihin,1
digital,1
disweeping,1
dikhianatin,1
mossi,1
thdp,1
dm,1
alloh,1
manhaj,1
dakwah,1
salaf,1
dipungkiri,1
jiwa,1
judicial,1
review,1
jka,1
stuju,1
pngesahan,1
jngan,1
dperalat,1
haus,1
kuas,1
mnghalalkan,1
barbar,1
mosi,1
politikus,1
parpolnya,1
elahhhhh,1
bgst,1
tai,1
ledik,1
idupnya,1
ken,1
jamet,1
kontol,1
gajelas,1
nge,1
kritik,1
delegitimasi,1
kelan,1
syalalala,1
post,1
bau,1
gamau,1
brp,1
kontak,1
dihp,1
mayoritas,1
speak,1
up,1
story,1
kemudian,1
kejar,1
setor,1
surati,1
pribadi,1
kaget,1
saran,1
jurus,1
boneka,1
airlangga,1
bangsaat,1
bangeeet,1
sponsor,1
laknatuallah,1
ngejagong,1
bae,1
drpd,1
menggenaskan,1
aji,1
sejati,1
gelintir,1
sorot,1
kesel,1
tonton,1
fb,1
wewenang,1
sumber,1
prinsip,1
umr,1
ln,1
alhamdulillah,1
kalsel,1
menang,1
segan,1
sempat,1
ribut,1
kondusif,1
sosiologis,1
masif,1
penjuru,1
kampus,1
gabaca,1
ake,1
kek,1
ntar,1
malu,1
s,1
still,1
jilid,1
ii,1
anying,1
atuh,1
teh,1
ah,1
tekendali,1
se,1
pergi,1
hashtagnya,1
buzzerp,1
influencerp,1
gratis,1
laksana,1
industry,1
enak,1
duit,1
latin,1
makna,1
didik,1
budaya,1
agraria,1
relatif,1
taraf,1
repot,1
ngurusin,1
pergola,1
wilayah,1
balas,1
bandung,1
oktober,1
sate,1
untun,1
sindir,1
kung,1
baperan,1
nyaman,1
terdak,1
apatis,1
bajing,1
fadli,1
tnaya,1
statemenya,1
g,1
bonus,1
demografi,1
jawabanya,1
youtubenya,1
jatuh,1
kabar,1
merespon,1
represif,1
islam,1
pandang,1
mikir,1
nyinyir,1
nyalahin,1
teliti,1
kolom,1
comment,1
sejelasxnya,1
ngehe,1
kembali,1
kecoh,1
tt,1
barusan,1
kamar,1
denger,1
makku,1
tipi,1
artis,1
wawancara,1
sumpa,1
goblo,1
sape,1
anjg,1
bijaksana,1
matana,1
yangfun,1
aq,1
emosy,1
tong,1
mangkas,1
ijin,1
rusakin,1
cikeas,1
bandar,1
kembang,1
liar,1
ahy,1
buah,1
rudi,1
kamri,1
kberadaan,1
mnyengsarakan,1
tntu,1
bhkan,1
kalah,1
brsampaing,1
shingga,1
trsedia,1
krja,1
mncapai,1
jago,1
gaada,1
ngerusak,1
sakit,1
duka,1
pulang,1
rahmatulloh,1
bner,1
kta,1
dapet,1
kualitas,1
gambling,1
nyoba,1
botol,1
botak,1
tolol,1
ngak,1
lansung,1
nguntungin,1
bangkrut,1
aseng,1
mending,1
fokus,1
entertain,1
nyemplung,1
nambah,1
keruh,1
batin,1
suasana,1
adab,1
nekat,1
desta,1
jkw,1
fungsi,1
ahli,1
masing-masing,1
semena,1
mena,1
asa,1
nikmat,1
cucu,1
borjuis,1
sial,1
dandan,1
ancor,1
demokratif,1
singkat,1
kompleks,1
segara,1
publikasi,1
ketuk,1
muluk,1
sistematis,1
administrasi,1
birokrasi,1
deeeeeng,1
oke,1
gapaham,1
mbknya,1
negative,1
jempol,1
gel,1
bangga,1
amrik,1
neg,1
gegara,1
george,1
floyd,1
tewas,1
why,1
murka,1
garap,1
haru,1
kuda,1
dsn,1
demokrrat,1
suka,1
kamis,1
manusi,1
hadir,1
pngen,1
amal,1
d,1
ingsun,1
walkak,1
likuk,1
ben,1
urip,1
kira,1
ngebahas,1
diteriakin,1
dewan,1
apalgi,1
bangkee,1
suruh,1
ngajuin,1
nek,1
ra,1
ro,1
jebul,1
wes,1
jawil,1
ajuin,1
intruksi,1
om,1
llo,1
lho,1
warung,1
kopi,1
hrs,1
nutupi,1
draftnya,1
sesat,1
divalidasi,1
akademisi,1
kali,1
webinar,1
bulan,1
upah,1
dokter,1
tirta,1
cerdas,1
kecam,1
ibarat,1
gede,1
tetangga,1
nolong,1
woy,1
nyiramnya,1
comberan,1
merk,1
ramasuk,1
gelo,1
sungai,1
gunung,1
oksigen,1
ancur,1
tilik,1
mo,1
dtunggangi,1
ambisius,1
dpilkada,1
jelasin,1
kasi,1
taun,1
buktiin,1
hey,1
buddyyyyy,1
untut,1
transparasi,1
ajar,1
diperjuangin,1
melek,1
plis,1
ahlaq,1
ngikut,1
trending,1
cemas,1
ma,1
y,1
ngrugiin,1
ngetik,1
ngetiknya,1
wkwkwk,1
chaos,1
wenang,1
ketika,1
dibully,1
maki,1
otoriter,1
senggol,1
bacok,1
layang,1
singapura,1
kau,1
video,1
indikasi,1
lahir,1
th,1
mantan,1
insting,1
rekayasa,1
ngeluh,1
allah,1
doa,1
bego,1
sumpahin,1
neraka,1
walikota,1
hajat,1
untukapa,1
patuh,1
insfratruktur,1
jangka,1
beberpa,1
temu,1
bincang,1
jenak,1
krna,1
linkaran,1
iblis,1
pancasilais,1
mengugatnya,1
ri,1
filter,1
suri,1
bantuanya,1
hadap,1
kawal,1
dibayang,1
blm,1
pesimis,1
iyaa,1
trust,1
lingkup,1
guideline,1
eksekusi,1
konsep,1
hehehe,1
ketidakadilan,1
bedah,1
pokok,1
solanya,1
tribunnews,1
google,1
drive,1
akses,1
donk,1
thanks,1
please,1
banner,1
setinggi,1
giring,1
resume,1
konferensi,1
pers,1
md,1
dishare,1
godok,1
gubris,1
mengcover,1
maka,1
industri,1
knp,1
terburu,1
pasalnya,1
serta,1
transparan,1
