author_id,created_at,id,source,text
1038097779166392327,2020-10-07T12,1313825745362280448,Twitter Web App," nih linknya. hahahahaha, isinya pengusaha semua, ya wajar ditentang buruh hahahaha. nama doang yang cipta kerja, isinya menangin dan nyenangin para konglo hahahah. dari komposisinya, ga keliatan sama sekali unsur buruh atau serikat pekerja manapun. "
715425736689995776,2020-10-07T12,1313825735925088262,Twitter Web App," Yang menolak omnibuslaw mending mundur jadi buruh, kan bisa bebas dan lepas dari julukan kaum buruh"
970784629815885825,2020-10-07T12,1313825723967250437,Twitter Web App,Demo Tolak Omnibus Law
249632648,2020-10-07T12,1313825709257711618,Twitter for iPhone,Jujur aja soal omnibuslaw aku no comment dulu sampe aku baca dan pahami isinya  baca rangkumannya orang orang malah pada misleading pusing akutu
1026108578522836992,2020-10-07T12,1313825672293310465,Twitter Web App," Coba Tanya jokowi faham ga uu omnibuslaw ? Jangankan desta ,1000% jkw juga ga bkl faham semua isi uu itu,itulah fungsi nya sudah Ada ahli masing2 ,tdk mungkin semua org hrs memahami semua...kl cm poin2 nya mungkin bs, makanya bnyk rakyat yg nolak krn bnyk point yg merugikan !!"
106972202,2020-10-07T12,1313825670292598784,Twitter for iPhone, Lagi sibuk bikin status kalau isi omnibus law yang beredar di sosmed HOAX... lah para anggota depereeeeee aja pada kagak tahu isinya apaan ....
862974984,2020-10-07T12,1313825642476052481,Twitter for iPhone," Ini semua org bayaran buat bikin citra omnibuslaw tuh bagus, jd followers nya bakalan mikir omnibus law bagus karna d jelasin yg bgs2 doang dr si buzzer ehehehe"
1234645668163129344,2020-10-07T12,1313825637002481665,Twitter for Android," tanpa Omnibus Law, buruh di Jogja sudah tertindas dengan upah minimum tidak manusiawi, pengawasan yang minim, dan perizinan yang serampangan. Ngizinin aksi mah karena udh gak bisa dibendung aja. "
150589950,2020-10-07T12,1313825622662156288,Twitter Web App,"Keberatan Bidang Pendidikan Tercantum di UU Omnibus Law Cipta Kerja, Taman Siswa Bakal Gugat ke MK "
1269945314980528129,2020-10-07T12,1313825620988588032,Twitter for iPhone,Itu yang ngetikin omnibuslaw filenya pake Omnibuslaw fixx Omnibuslaw fixx banget Omnibuslawfixx finish Omnibuslaw fixxxxxx Omnibuslaw setor apa nggak yaa? Pasti revisi dooong Omnibuslaw revisi 1 Omnibuslaw revisi 2 fix Omnibuslaw revisi 3 fix banget dah Apa nggak juga?
1260447429494738945,2020-10-07T12,1313825606216241152,Twitter Web App," jujur gak bakal kepilih juga sih, apalagi liat beliau begini ke omnibus law, gila banget masih berharap ada yang milih kali..."
1243303895364816896,2020-10-07T12,1313825577749618688,Twitter for Android, DPRRI GAGAL   
1103951806617411589,2020-10-07T12,1313825568454963200,Twitter for Android, Iwan Fulus
1090646351870709760,2020-10-07T12,1313825564524830726,Twitter for Android,Twiter plis yu yur magic! Mohon minta bantuan nya temen temen buat kawan saya yang terkena musibah di hari kemarin setelah aksi ruu omnibuslaw Kawan bantu kawan Bantu share juga
910010893236187136,2020-10-07T12,1313825556522172421,Twitter for Android,"Respon Omnibuslaw, Aliansi Rakyat Tegal Pastikan Gelar Aksi Besok "
1303555587712581632,2020-10-07T12,1313825547437260800,Twitter for Android,"Bagaimana dengan Corona guys .kalian terlalu sibuk dengan omnibus law, sampe corona di lupakan "
71998186,2020-10-07T12,1313825526046289920,Twitter Web App,"baca.. baca.. dan baca lagi .. lihat video ini, diskusi itu, sampai saat ini hati kecil saya masih berpihak ke minoritas yg ada di timeline "
1113309099729362945,2020-10-07T12,1313825513299832832,Twitter for Android,Dasar tugas presiden
152252537,2020-10-07T12,1313825499488034818,Twitter for Android,Gila ini TL di twitter gw kayak udah kebakaran aja gara2 omnibuslaw
1190807906658074624,2020-10-07T12,1313825497411809281,Twitter for Android, Stuju TOLAK RUU CIPTA KERJA 
1241740854298984448,2020-10-07T12,1313825491741143040,Twitter for Android,Penolakan Omnibus Law dimana2 Semuanya menolak dan represif dr alat negara terjadi dimana2. Ada yg lihat beritanya di TV g sih?
781912591606042624,2020-10-07T12,1313825491002982401,Twitter Web App,"\Enam orang dalam kondisi cukup kritis, satu mahasiswa masih dalam tindakan serius karena terus mengalami pendarahan\ Teman-teman yang berada di medan perjuangan, tetap hati-hati dan saling jaga satu sama lain. "
1297353241190006785,2020-10-07T12,1313825482685648898,Twitter for iPhone, LEBIH KENCANG ANJG
1104198010802659328,2020-10-07T12,1313825481884536832,Twitter for Android,"Kalau OMNIBUSLAW jadi di sah kan,gaji rakyat kan berkurang,ntar siapa dong yang gaji kalian,yang fasilitasi kalian,yang bayar tidur kalian, "
1254014495002734595,2020-10-07T12,1313825481729302529,Twitter for Android,Abis nongkrong ngobrol sama temen yang katanya pro omnibuslaw padahal kakaknya buruh hehe
1268093593954074625,2020-10-07T12,1313825472111767553,Twitter for iPad,UU Omnibuslaw bkl membuka lapangan pekerjaan bru seirng brtambahnya investasi yng masuk.
1311318804547252224,2020-10-07T12,1313825470903803905,Twitter for Android, kok jahat banget.. 
46027784,2020-10-07T12,1313825455519068160,Twitter for Android,"Komentarin kalau tidak seharusnya mahasiswa melancarkan aksi demo dan anarkis sampe bentrok sama aparat di kawasan industri. Dikomentarin sama yang tau omnibus law dari postingan IG, (1) dibilang simpenan DPR; (2) sama buruh pt juga, sama lagi kuliah juga "
1575141104,2020-10-07T12,1313825454516695041,Twitter for Android,Lampung Ceos Pada Sore ini Aksi Menolak Omnibuslaw 7/10 . 88
393256873,2020-10-07T12,1313825453711355904,Twitter for Android," Ketua dan Para Wakil Ketua , Ini Maklumat Pemuka Agama Indonesia. Tolak Omnibus Law dan Buka Ruang Partisipasi Publik - Tandatangani Petisi! "
540064664,2020-10-07T12,1313825439517794304,Twitter for Android,Kelakuan menantu idaman
1687359906,2020-10-07T12,1313825435843608576,Twitter for Android, DPRD Purwakarta menolak omnibuslaw
2996301794,2020-10-07T12,1313825417728466945,Twitter Web App,Alasan Buruh Masih Ngotot Tolak Omnibus Law Cipta Kerja
